gameid,league,split,playoffs,game,patch,blue_team,red_team,blue_ban1,blue_ban2,blue_ban3,blue_ban4,blue_ban5,red_ban1,red_ban2,red_ban3,red_ban4,red_ban5,blue_pick1,blue_pick2,blue_pick3,blue_pick4,blue_pick5,red_pick1,red_pick2,red_pick3,red_pick4,red_pick5,blue_win
ESPORTSTMNT06/1170600,LEC,Spring,0,1,10.04,SK Gaming,FC Schalke 04 Esports,Rakan,Syndra,LeBlanc,Cassiopeia,Irelia,Karthus,Ornn,Senna,Braum,Tahm Kench,Gangplank,Diana,Pantheon,Aphelios,Thresh,Vladimir,Gragas,Sett,Miss Fortune,Nautilus,0
ESPORTSTMNT03/1324283,CBLOL,Split 1,0,1,10.04,KaBuM! e-Sports,Redemption eSports Porto Alegre,Yasuo,Renekton,Rumble,Volibear,Kennen,Ornn,Senna,Lucian,Jayce,Aatrox,Hecarim,Olaf,Zoe,Ezreal,Yuumi,Sett,Elise,Azir,Aphelios,Karma,1
ESPORTSTMNT06/1160681,LCL,Spring,0,1,10.04,RoX,Gambit Esports,Aphelios,Thresh,Yuumi,Varus,Xayah,Sett,Pantheon,Senna,Karthus,Trundle,Ornn,Lee Sin,Rumble,Miss Fortune,Nautilus,Aatrox,Olaf,Sylas,Syndra,Braum,1
ESPORTSTMNT06/1170617,LEC,Spring,0,1,10.04,Excel Esports,Team Vitality,Viktor,Rakan,Diana,Kalista,Miss Fortune,Ornn,Senna,Karthus,Renekton,Aatrox,Gangplank,Sejuani,Syndra,Aphelios,Nautilus,Sett,Gragas,LeBlanc,Varus,Thresh,1
ESPORTSTMNT03/1324303,CBLOL,Split 1,0,1,10.04,paiN Gaming,INTZ,Gragas,Aphelios,Senna,Nautilus,Yuumi,Ornn,Zoe,Gangplank,Alistar,Taric,Sett,Elise,Azir,Kalista,Blitzcrank,Vladimir,Olaf,Syndra,Miss Fortune,Thresh,1
ESPORTSTMNT06/1170627,LEC,Spring,0,1,10.04,Rogue,MAD Lions,LeBlanc,Gangplank,Azir,Lucian,Cassiopeia,Ornn,Senna,Aatrox,Rakan,Taric,Sett,Sejuani,Tristana,Syndra,Nautilus,Renekton,Gragas,Viktor,Aphelios,Braum,1
ESPORTSTMNT03/1324333,CBLOL,Split 1,0,1,10.04,FURIA Esports,Prodigy Esports,Ezreal,Elise,Sett,Lee Sin,Pantheon,Ornn,Syndra,Lucian,Rek'Sai,Sejuani,Renekton,Taliyah,LeBlanc,Senna,Tahm Kench,Aatrox,Jarvan IV,Zoe,Aphelios,Nautilus,1
ESPORTSTMNT06/1170633,LEC,Spring,0,1,10.04,Origen,Misfits Gaming,Sett,Senna,Gangplank,Syndra,Aatrox,Ornn,Karthus,Gragas,LeBlanc,Camille,Renekton,Zac,Corki,Aphelios,Nautilus,Mordekaiser,Lee Sin,Azir,Miss Fortune,Braum,1
ESPORTSTMNT03/1324357,CBLOL,Split 1,0,1,10.04,Vivo Keyd,Flamengo Esports,Elise,Lee Sin,Senna,Sejuani,Gragas,Ornn,Yuumi,Sett,Taliyah,Karthus,Poppy,Pantheon,LeBlanc,Aphelios,Thresh,Kayle,Jarvan IV,Lucian,Varus,Braum,1
ESPORTSTMNT06/1170642,LEC,Spring,0,1,10.04,Fnatic,G2 Esports,Syndra,Senna,Karthus,Aatrox,Kled,Ornn,Pantheon,Aphelios,Tristana,Xayah,Sett,Gragas,Yasuo,Kai'Sa,Rakan,Janna,Olaf,Akali,Ezreal,Yuumi,0
ESPORTSTMNT03/1334593,LLA,Opening,0,1,10.04,Rainbow7,Furious Gaming,Jarvan IV,Azir,Senna,Syndra,LeBlanc,Ornn,Aphelios,Sett,Sejuani,Olaf,Gangplank,Lee Sin,Zoe,Ezreal,Yuumi,Lucian,Elise,Orianna,Miss Fortune,Nautilus,1
ESPORTSTMNT03/1334618,LCS,Spring,0,1,10.04,Team SoloMid,Cloud9,Tahm Kench,Senna,Pantheon,Gangplank,Aatrox,Syndra,Ornn,Aphelios,Gragas,Sejuani,Sett,Jarvan IV,Zilean,Xayah,Rakan,Shen,Lee Sin,Zoe,Miss Fortune,Leona,1
ESPORTSTMNT03/1334626,LLA,Opening,0,1,10.04,XTEN Esports,Isurus,Pantheon,Yuumi,Sett,Blitzcrank,Leona,Ornn,Senna,Aphelios,Kalista,Varus,Aatrox,Elise,Lucian,Veigar,Thresh,Gangplank,Lee Sin,LeBlanc,Miss Fortune,Nautilus,0
ESPORTSTMNT03/1334645,LCS,Spring,0,1,10.04,Dignitas,100 Thieves,Yuumi,Sett,Xayah,Gangplank,Rek'Sai,Rumble,Ornn,Senna,Orianna,LeBlanc,Aatrox,Lee Sin,Zoe,Aphelios,Tahm Kench,Renekton,Trundle,Syndra,Miss Fortune,Nautilus,0
ESPORTSTMNT03/1334665,LLA,Opening,0,1,10.04,Pixel Esports Club,All Knights,Gangplank,Jarvan IV,Sett,Cassiopeia,Lee Sin,Ornn,Senna,Aphelios,Corki,Sejuani,Renekton,Taliyah,Syndra,Miss Fortune,Braum,Gnar,Gragas,Vel'Koz,Kalista,Nautilus,0
ESPORTSTMNT03/1334671,LCS,Spring,0,1,10.04,Team Liquid,Counter Logic Gaming,Rumble,Senna,Yuumi,Cassiopeia,Sejuani,Sett,Elise,Mordekaiser,Zoe,Gragas,Ornn,Lee Sin,Viktor,Miss Fortune,Braum,Janna,Trundle,Syndra,Aphelios,Thresh,0
ESPORTSTMNT03/1334675,LLA,Opening,0,1,10.04,Azules Esports,Infinity Esports,Senna,LeBlanc,Kalista,Leona,Yuumi,Aphelios,Pantheon,Ornn,Braum,Azir,Sett,Gragas,Zoe,Ezreal,Tahm Kench,Gangplank,Jarvan IV,Syndra,Miss Fortune,Nautilus,0
ESPORTSTMNT03/1334696,LCS,Spring,0,1,10.04,Evil Geniuses,FlyQuest,Riven,Syndra,Sett,Viktor,Cassiopeia,Ornn,Tahm Kench,LeBlanc,Zoe,Rek'Sai,Mordekaiser,Pantheon,Taliyah,Senna,Nautilus,Aatrox,Lee Sin,Ahri,Aphelios,Shen,1
ESPORTSTMNT03/1334705,LCS.A,Spring,0,1,10.04,TSM Academy,Team Liquid Academy,Zoe,Kalista,Yuumi,Sejuani,Jarvan IV,Aphelios,Senna,Ornn,LeBlanc,Syndra,Gangplank,Olaf,Azir,Miss Fortune,Braum,Sett,Gragas,Corki,Varus,Tahm Kench,1
ESPORTSTMNT03/1334720,LJL,Spring,0,1,10.04,Sengoku Gaming,Rascal Jester,Jarvan IV,Yuumi,Aphelios,Azir,Ziggs,LeBlanc,Senna,Ornn,Zoe,Nocturne,Gnar,Elise,Pantheon,Ezreal,Braum,Kennen,Rek'Sai,Sett,Varus,Nautilus,0
ESPORTSTMNT03/1334730,LJL,Spring,0,1,10.04,Burning Core,Sengoku Gaming,Olaf,Rumble,Ornn,Rek'Sai,Kayle,Jarvan IV,Yuumi,Elise,Tahm Kench,Nautilus,Sett,Lee Sin,Sylas,Senna,Shen,Gnar,Pantheon,LeBlanc,Aphelios,Thresh,0
ESPORTSTMNT03/1334756,LJL,Spring,0,1,10.04,Burning Core,Fukuoka SoftBank Hawks gaming,Olaf,Irelia,Rumble,Nautilus,Akali,Yuumi,Sett,Ornn,Gangplank,Mordekaiser,Darius,Lee Sin,Sylas,Aphelios,Rakan,Lucian,Jarvan IV,LeBlanc,Miss Fortune,Braum,1
ESPORTSTMNT03/1334768,LJL,Spring,0,1,10.04,Fukuoka SoftBank Hawks gaming,Rascal Jester,Sett,Mordekaiser,Ornn,Azir,Kennen,Aphelios,LeBlanc,Jarvan IV,Lucian,Vladimir,Aatrox,Elise,Cassiopeia,Ezreal,Yuumi,Renekton,Rek'Sai,Syndra,Varus,Nautilus,0
ESPORTSTMNT03/1334790,PCS,Spring,0,1,10.04,Berjaya Dragons,Alpha Esports,LeBlanc,Ornn,Senna,Sejuani,Olaf,Aphelios,Syndra,Zoe,Yuumi,Rakan,Sett,Rek'Sai,Cassiopeia,Ezreal,Karma,Aatrox,Gragas,Orianna,Miss Fortune,Braum,1
ESPORTSTMNT03/1334801,LJL,Spring,0,1,10.04,V3 Esports,DetonatioN FocusMe,Heimerdinger,Jarvan IV,Yuumi,Karma,Syndra,Nocturne,Ekko,Ornn,Renekton,Pantheon,Aatrox,Elise,LeBlanc,Varus,Tahm Kench,Sett,Olaf,Galio,Nautilus,Senna,1
ESPORTSTMNT03/1334821,PCS,Spring,0,1,10.04,Machi Esports,Alpha Esports,Sett,LeBlanc,Senna,Gangplank,Renekton,Aphelios,Zoe,Syndra,Yuumi,Rek'Sai,Ornn,Olaf,Azir,Ezreal,Rakan,Aatrox,Lee Sin,Kassadin,Miss Fortune,Braum,0
ESPORTSTMNT03/1324579,VCS,Spring,0,1,10.04,V Gaming Adonis,CERBERUS Esports,Zoe,Sett,Aphelios,Syndra,Irelia,Gragas,Pantheon,Senna,Braum,Cassiopeia,Ornn,Xin Zhao,Lucian,Varus,Tahm Kench,Sylas,Elise,Tristana,Kalista,Thresh,1
ESPORTSTMNT03/1334852,LJL,Spring,0,1,10.04,DetonatioN FocusMe,AXIZ,Elise,LeBlanc,Zoe,,Ryze,Ornn,Heimerdinger,Sett,Volibear,Nautilus,Gnar,Olaf,Syndra,Varus,Senna,Camille,Lee Sin,Ekko,Ezreal,Yuumi,1
ESPORTSTMNT03/1334863,PCS,Spring,0,1,10.04,ahq eSports Club,Resurgence,Elise,LeBlanc,Senna,Soraka,Nautilus,Sett,Aphelios,Zoe,Kalista,Ezreal,Ornn,Lee Sin,Syndra,Varus,Thresh,Gangplank,Trundle,Ekko,Miss Fortune,Braum,1
ESPORTSTMNT06/1170665,TCL,Winter,0,1,10.04,Team AURORA,1907 Fenerbahçe Esports,Yasuo,LeBlanc,Lucian,Irelia,Camille,Ornn,Sett,Senna,Ziggs,Mordekaiser,Pantheon,Trundle,Veigar,Kalista,Thresh,Aatrox,Sejuani,Syndra,Miss Fortune,Tahm Kench,0
ESPORTSTMNT03/1334872,LJL,Spring,0,1,10.04,Crest Gaming Act,AXIZ,Olaf,Yuumi,LeBlanc,Rek'Sai,Elise,Ornn,Sett,Senna,Ekko,Vladimir,Gangplank,Jarvan IV,Azir,Aphelios,Thresh,Aatrox,Lee Sin,Zoe,Miss Fortune,Nautilus,0
ESPORTSTMNT03/1324609,VCS,Spring,0,2,10.04,CERBERUS Esports,V Gaming Adonis,Pantheon,Tahm Kench,Ornn,Taliyah,Gragas,Sett,Aphelios,Zoe,Varus,Aatrox,Mordekaiser,Elise,Qiyana,Lucian,Braum,Renekton,Zac,Ryze,Kalista,Thresh,0
ESPORTSTMNT03/1334886,PCS,Spring,0,1,10.04,Liyab Esports,Nova Esports,Renekton,Syndra,Elise,Jarvan IV,Rek'Sai,Ornn,Senna,Sett,Blitzcrank,Nautilus,Jayce,Lee Sin,Zoe,Aphelios,Rakan,Irelia,Xin Zhao,LeBlanc,Ashe,Tahm Kench,1
ESPORTSTMNT06/1170675,TCL,Winter,0,1,10.04,Papara SuperMassive,Dark Passage,Thresh,Sett,LeBlanc,Irelia,Yasuo,Nautilus,Ornn,Aphelios,Vel'Koz,Aatrox,Jayce,Sejuani,Diana,Senna,Tahm Kench,Pantheon,Gragas,Zoe,Varus,Karma,1
ESPORTSTMNT06/1160764,LCL,Spring,0,1,10.04,Gambit Esports,Elements Pro Gaming,Yuumi,Senna,Sett,Sylas,Viktor,Olaf,Rek'Sai,Thresh,Yasuo,Aatrox,Ornn,Jarvan IV,LeBlanc,Miss Fortune,Braum,Mordekaiser,Lee Sin,Lulu,Aphelios,Nautilus,0
ESPORTSTMNT03/1324635,VCS,Spring,0,1,10.04,GAM Esports,EVOS Esports,Vladimir,Xayah,Olaf,Renekton,Aphelios,Pantheon,Elise,Sett,Gragas,Shyvana,Mordekaiser,Qiyana,Lucian,Senna,Tahm Kench,Tristana,Rek'Sai,Ornn,Ezreal,Karma,1
ESPORTSTMNT03/1334908,PCS,Spring,0,1,10.04,Machi Esports,Berjaya Dragons,LeBlanc,Elise,Ornn,Karma,Thresh,Aphelios,Olaf,Sett,Jarvan IV,Trundle,Gangplank,Lee Sin,Zoe,Senna,Tahm Kench,Renekton,Rek'Sai,Syndra,Varus,Nautilus,1
ESPORTSTMNT03/1334912,LJL,Spring,0,1,10.04,Crest Gaming Act,V3 Esports,Elise,Yuumi,Senna,Nocturne,Zoe,Ornn,LeBlanc,Jarvan IV,Sylas,Thresh,Sett,Sejuani,Akali,Kalista,Leona,Aatrox,Ekko,Jayce,Aphelios,Nautilus,0
ESPORTSTMNT06/1170687,TCL,Winter,0,1,10.04,Galakticos,5 Ronin,Kalista,Thresh,Nautilus,Sejuani,Trundle,Aphelios,Sett,Yuumi,Zoe,Syndra,Ornn,Jarvan IV,Diana,Miss Fortune,Taric,Aatrox,Gragas,Azir,Senna,Tahm Kench,1
ESPORTSTMNT03/1324659,VCS,Spring,0,2,10.04,EVOS Esports,GAM Esports,Pantheon,Elise,Sett,Renekton,Fiora,Vladimir,Xayah,Mordekaiser,Rek'Sai,Shyvana,Yasuo,Gragas,Ornn,Aphelios,Thresh,Aatrox,Lee Sin,Galio,Senna,Tahm Kench,0
ESPORTSTMNT03/1334920,PCS,Spring,0,1,10.04,Hong Kong Attitude,Nova Esports,Elise,LeBlanc,Sett,Tahm Kench,Thresh,Ornn,Aphelios,Senna,Nautilus,Lee Sin,Gangplank,Trundle,Zoe,Miss Fortune,Braum,Renekton,Olaf,Syndra,Varus,Yuumi,1
ESPORTSTMNT06/1170706,TCL,Winter,0,1,10.04,Royal Youth,Beşiktaş Esports,Yasuo,Pantheon,Sejuani,Azir,LeBlanc,Ornn,Sett,Senna,Aatrox,Jarvan IV,Lucian,Karthus,Syndra,Tristana,Nautilus,Vladimir,Olaf,Zed,Aphelios,Thresh,0
ESPORTSTMNT06/1160799,LCL,Spring,0,1,10.04,Unicorns Of Love.CIS,CrowCrowd,Ornn,Yuumi,Aphelios,Miss Fortune,Ezreal,Senna,Pantheon,Vayne,Syndra,Ekko,Sett,Karthus,Zed,Cassiopeia,Thresh,Mordekaiser,Jarvan IV,Zoe,Kalista,Blitzcrank,1
ESPORTSTMNT03/1324686,PCS,Spring,0,1,10.04,Talon Esports,J Team,Elise,LeBlanc,Olaf,Gragas,Rek'Sai,Ornn,Aphelios,Senna,Zoe,Jarvan IV,Sett,Karthus,Azir,Ezreal,Braum,Renekton,Sejuani,Sylas,Miss Fortune,Rakan,0
ESPORTSTMNT06/1160814,LCL,Spring,0,1,10.04,Dragon Army,M19,Lee Sin,Blitzcrank,Ornn,Leona,Braum,Karthus,Thresh,Sett,Aatrox,LeBlanc,Gangplank,Gragas,Ekko,Aphelios,Nautilus,Mordekaiser,Jarvan IV,Ryze,Miss Fortune,Rumble,1
ESPORTSTMNT03/1324707,CBLOL,Split 1,0,1,10.04,INTZ,KaBuM! e-Sports,Zoe,Yuumi,Elise,Syndra,Cassiopeia,Ornn,Senna,Camille,Lucian,LeBlanc,Sett,Gragas,Tristana,Aphelios,Nautilus,Vayne,Olaf,Orianna,Xayah,Rakan,1
ESPORTSTMNT06/1160824,LCL,Spring,0,1,10.04,Vega Squadron,RoX,Nautilus,Miss Fortune,Yuumi,Mordekaiser,Kayle,Aphelios,Ornn,Thresh,LeBlanc,Zoe,Sett,Ekko,Syndra,Senna,Tahm Kench,Vladimir,Gragas,Pantheon,Ezreal,Karma,0
ESPORTSTMNT03/1324737,CBLOL,Split 1,0,1,10.04,Prodigy Esports,Flamengo Esports,Sejuani,Lee Sin,Lucian,LeBlanc,Tahm Kench,Ornn,Sett,Senna,Yuumi,Varus,Pantheon,Elise,Qiyana,Heimerdinger,Alistar,Renekton,Olaf,Viktor,Aphelios,Nautilus,1
ESPORTSTMNT03/1324751,CBLOL,Split 1,0,1,10.04,paiN Gaming,Vivo Keyd,Yuumi,Senna,Aphelios,LeBlanc,Gnar,Ornn,Gangplank,Elise,Leona,Nautilus,Sett,Sejuani,Zoe,Miss Fortune,Thresh,Pantheon,Karthus,Ekko,Varus,Braum,0
ESPORTSTMNT06/1170738,LCS,Spring,0,1,10.04,100 Thieves,Immortals,Syndra,Rek'Sai,Senna,Sejuani,Corki,Ornn,Aphelios,Sett,Trundle,Azir,Aatrox,Gragas,Zoe,Miss Fortune,Nautilus,Camille,Lee Sin,LeBlanc,Varus,Tahm Kench,1
ESPORTSTMNT03/1324768,CBLOL,Split 1,0,1,10.04,FURIA Esports,Redemption eSports Porto Alegre,Aphelios,Sett,Yuumi,Camille,Yasuo,Ornn,Lucian,Karthus,Vladimir,LeBlanc,Gnar,Trundle,Zoe,Senna,Tahm Kench,Renekton,Sejuani,Syndra,Ezreal,Karma,0
ESPORTSTMNT06/1170753,LCS,Spring,0,1,10.04,FlyQuest,Team SoloMid,Syndra,Tahm Kench,Xayah,Zilean,LeBlanc,Ornn,Senna,Rumble,Olaf,Sejuani,Aatrox,Zac,Orianna,Aphelios,Thresh,Sett,Gragas,Irelia,Miss Fortune,Nautilus,0
ESPORTSTMNT03/1324803,LLA,Opening,0,1,10.04,Infinity Esports,Isurus,Yuumi,LeBlanc,Gangplank,Nautilus,Rumble,Ornn,Senna,Sett,Irelia,Yasuo,Camille,Gragas,Syndra,Aphelios,Tahm Kench,Aatrox,Jarvan IV,Ziggs,Miss Fortune,Lulu,1
ESPORTSTMNT06/1170767,LCS,Spring,0,1,10.04,Golden Guardians,Dignitas,Qiyana,Janna,Rumble,Corki,Gragas,Ornn,Aphelios,Senna,Olaf,LeBlanc,Aatrox,Pantheon,Syndra,Kalista,Sett,Mordekaiser,Rek'Sai,Zoe,Miss Fortune,Thresh,1
ESPORTSTMNT06/1170778,LCS,Spring,0,1,10.04,Counter Logic Gaming,Evil Geniuses,Yuumi,Xayah,Senna,Aatrox,Jarvan IV,Ornn,Sett,Aphelios,Rek'Sai,Sejuani,Gangplank,Gragas,Syndra,Ashe,Braum,Jayce,Lee Sin,Ekko,Varus,Tahm Kench,0
ESPORTSTMNT03/1324821,LLA,Opening,0,1,10.04,Rainbow7,XTEN Esports,Lucian,Elise,LeBlanc,Olaf,Lee Sin,Aphelios,Ornn,Ezreal,Gangplank,Syndra,Aatrox,Sejuani,Zoe,Senna,Tahm Kench,Sett,Trundle,Kassadin,Miss Fortune,Yuumi,1
ESPORTSTMNT03/1324838,LLA,Opening,0,1,10.04,Pixel Esports Club,Azules Esports,Pantheon,Zoe,Lucian,Cassiopeia,Ryze,Ornn,Senna,Elise,Sejuani,Taliyah,Renekton,Gragas,Ziggs,Aphelios,Nautilus,Sett,Jarvan IV,Azir,Miss Fortune,Thresh,1
ESPORTSTMNT06/1170791,LCS.A,Spring,0,1,10.04,FlyQuest Academy,Cloud9 Academy,Rek'Sai,Yuumi,Aphelios,Leona,Gragas,Sett,Ornn,Tahm Kench,Ziggs,Malzahar,Aatrox,Lee Sin,LeBlanc,Senna,Nautilus,Camille,Jarvan IV,Zoe,Miss Fortune,Shen,0
ESPORTSTMNT03/1335133,LLA,Opening,0,1,10.04,All Knights,Furious Gaming,Elise,Zoe,Yuumi,Alistar,Azir,Ornn,Aphelios,Senna,Rumble,Vel'Koz,Gangplank,Ekko,Syndra,Miss Fortune,Braum,Sett,Jarvan IV,Corki,Kalista,Taric,1
5952-7303,LPL,Spring,0,1,10.04,LNG Esports,Oh My God,Yuumi,Olaf,Varus,Mordekaiser,Sylas,Pantheon,Rek'Sai,Sett,Jarvan IV,Gragas,Ornn,Camille,Lissandra,Senna,Tahm Kench,Aatrox,Lee Sin,LeBlanc,Aphelios,Bard,1
5952-7304,LPL,Spring,0,2,10.04,Oh My God,LNG Esports,Pantheon,Ornn,Varus,Bard,Tahm Kench,Aphelios,Yuumi,Senna,Kalista,Caitlyn,Sett,Lee Sin,Zoe,Miss Fortune,Leona,Janna,Olaf,LeBlanc,Ezreal,Alistar,1
5952-7305,LPL,Spring,0,3,10.04,LNG Esports,Oh My God,Yuumi,Olaf,Varus,LeBlanc,Azir,Pantheon,Aphelios,Senna,Jarvan IV,Camille,Ornn,Rek'Sai,Zoe,Kalista,Braum,Sett,Lee Sin,Diana,Miss Fortune,Leona,0
5953-7306,LPL,Spring,0,1,10.04,FunPlus Phoenix,JD Gaming,Zoe,Elise,Olaf,Jarvan IV,Azir,Sett,Senna,Rek'Sai,Yuumi,Bard,Aatrox,Lee Sin,Rumble,Miss Fortune,Rakan,Ornn,Kindred,Karma,Aphelios,Braum,1
5953-7307,LPL,Spring,0,2,10.04,FunPlus Phoenix,JD Gaming,Zoe,Elise,Olaf,Karma,LeBlanc,Sett,Senna,Rek'Sai,Nautilus,Sylas,Aatrox,Lee Sin,Rumble,Miss Fortune,Blitzcrank,Mordekaiser,Kindred,Ornn,Aphelios,Leona,0
5953-7308,LPL,Spring,0,3,10.04,JD Gaming,FunPlus Phoenix,Senna,Nautilus,Elise,Yasuo,Pantheon,Sett,Zoe,Ornn,Mordekaiser,Thresh,Renekton,Kindred,Karma,Aphelios,Rakan,Aatrox,Gragas,Sylas,Miss Fortune,Leona,0
5954-7309,LPL,Spring,0,1,10.04,Royal Never Give Up,Top Esports,Elise,Senna,Olaf,Irelia,Thresh,Rumble,Pantheon,Blitzcrank,Morgana,Braum,Sett,Trundle,Sylas,Aphelios,Taric,Ornn,Sejuani,Azir,Miss Fortune,Leona,1
5954-7310,LPL,Spring,0,2,10.04,Royal Never Give Up,Top Esports,Elise,Senna,Olaf,Irelia,Viktor,Rumble,Pantheon,Miss Fortune,Varus,Kalista,Sett,Rek'Sai,Zoe,Kai'Sa,Braum,Ornn,Sejuani,Diana,Aphelios,Yuumi,1
ESPORTSTMNT06/1170811,LCS.A,Spring,0,1,10.04,CLG Academy,Evil Geniuses Academy,Senna,Tahm Kench,Yuumi,Jarvan IV,Elise,Ornn,Aphelios,Sett,Gangplank,Lee Sin,Aatrox,Sejuani,Syndra,Miss Fortune,Nautilus,Renekton,Olaf,Zoe,Ezreal,Braum,0
ESPORTSTMNT06/1170820,LCS.A,Spring,0,1,10.04,Dignitas Academy,100 Thieves Academy,Yuumi,Pantheon,Kalista,Syndra,Zoe,Senna,Aphelios,Ornn,Qiyana,Rumble,Sett,Rek'Sai,LeBlanc,Ezreal,Tahm Kench,Aatrox,Lee Sin,Orianna,Varus,Braum,0
ESPORTSTMNT06/1170829,LCS.A,Spring,0,1,10.04,Golden Guardians Academy,Immortals Academy,Pantheon,Yuumi,Tahm Kench,Ezreal,Braum,Ornn,Aphelios,Senna,Sejuani,Jarvan IV,Sett,Gragas,Qiyana,Miss Fortune,Nautilus,Aatrox,Rek'Sai,Zoe,Xayah,Rakan,0
ESPORTSTMNT06/1170837,LCS,Spring,0,1,10.04,Immortals,Team Liquid,Aatrox,Mordekaiser,Gangplank,Sejuani,Jarvan IV,Ornn,Senna,Sett,Braum,Thresh,Renekton,Gragas,Qiyana,Aphelios,Tahm Kench,Zac,Olaf,Zoe,Miss Fortune,Nautilus,1
ESPORTSTMNT03/1335351,BRCC,,0,1,10.04,RED Canids,Falkol,Pantheon,Senna,Kalista,Lee Sin,Olaf,Yasuo,Sett,Ornn,LeBlanc,Renekton,Poppy,Jarvan IV,Galio,Aphelios,Braum,Gangplank,Sejuani,Zoe,Miss Fortune,Rakan,1
ESPORTSTMNT03/1335365,BRCC,,0,1,10.04,Santos e-Sports,Intergalaxy Tigers Gaming,Renekton,Elise,Sett,LeBlanc,Talon,Senna,Pantheon,Ornn,Fiora,Jax,Akali,Sejuani,Mordekaiser,Aphelios,Braum,Camille,Trundle,Sylas,Xayah,Rakan,1
ESPORTSTMNT06/1170847,LCS,Spring,0,1,10.04,Cloud9,Golden Guardians,Kalista,Yuumi,Tahm Kench,Jarvan IV,Olaf,Senna,Ornn,Qiyana,Gragas,Miss Fortune,Sett,Pantheon,Taliyah,Syndra,Pyke,Aatrox,Sejuani,Zoe,Aphelios,Nautilus,1
ESPORTSTMNT03/1335382,BRCC,,0,1,10.04,Havan Liberty Gaming,Team oNe eSports,Jayce,Renekton,Kalista,Jarvan IV,Karthus,Lucian,Senna,Ornn,Yasuo,Aphelios,Sett,Sejuani,Sylas,Ezreal,Nautilus,Gangplank,Gragas,Rumble,Miss Fortune,Morgana,1
5955-7311,LPL,Spring,0,1,10.04,Dominus Esports,LGD Gaming,Mordekaiser,Ornn,Elise,Kennen,Yasuo,Senna,Sett,Olaf,Ekko,Nidalee,Renekton,Lee Sin,Cassiopeia,Aphelios,Nautilus,Gnar,Gragas,Pantheon,Miss Fortune,Thresh,1
5955-7312,LPL,Spring,0,2,10.04,LGD Gaming,Dominus Esports,Senna,Renekton,Olaf,Cassiopeia,Zilean,Ornn,Aphelios,Sett,Pantheon,Irelia,Mordekaiser,Elise,Qiyana,Varus,Thresh,Aatrox,Lee Sin,Lissandra,Miss Fortune,Nautilus,0
5956-7313,LPL,Spring,0,1,10.04,Suning,eStar,Olaf,Lee Sin,Mordekaiser,Thresh,Nautilus,Aphelios,Sett,Senna,Rek'Sai,Elise,Renekton,Gragas,Ornn,Ezreal,Yuumi,Maokai,Jarvan IV,Rumble,Miss Fortune,Bard,0
5956-7314,LPL,Spring,0,2,10.04,eStar,Suning,Senna,Ornn,Olaf,Aatrox,LeBlanc,Sett,Aphelios,Lee Sin,Thresh,Rek'Sai,Rumble,Sejuani,Lucian,Kalista,Braum,Renekton,Jarvan IV,Azir,Miss Fortune,Nautilus,0
5956-7315,LPL,Spring,0,3,10.04,Suning,eStar,Olaf,Lee Sin,Ornn,Tahm Kench,Braum,Aphelios,Senna,Sett,Leona,Pantheon,Aatrox,Elise,Azir,Miss Fortune,Nautilus,Maokai,Jarvan IV,Rumble,Varus,Thresh,0
ESPORTSTMNT01/1310245,LFL,Spring,1,1,10.05,GameWard,Vitality.Bee,Ryze,Ziggs,Yasuo,Azir,Zoe,Cassiopeia,Senna,Yuumi,Elise,Olaf,Mordekaiser,Sejuani,Sett,Aphelios,Thresh,Ornn,Gragas,Corki,Varus,Tahm Kench,0
ESPORTSTMNT01/1310267,LFL,Spring,1,2,10.05,GameWard,Vitality.Bee,Ryze,Ziggs,Ornn,Sejuani,Skarner,Yuumi,Senna,Cassiopeia,Blitzcrank,Mordekaiser,Sett,Gragas,Veigar,Ezreal,Karma,Aatrox,Jarvan IV,Azir,Varus,Tahm Kench,1
ESPORTSTMNT01/1310277,LFL,Spring,1,3,10.05,GameWard,Vitality.Bee,Ryze,Ziggs,Ornn,Jarvan IV,Sejuani,Senna,Yuumi,Sett,Ezreal,Lucian,Gangplank,Gragas,Varus,Kai'Sa,Leona,Sion,Skarner,Azir,Miss Fortune,Braum,0
ESPORTSTMNT01/1310283,LFL,Spring,1,4,10.05,Vitality.Bee,GameWard,Cassiopeia,Sett,Yuumi,Veigar,Varus,Ryze,Senna,Ornn,Nautilus,Thresh,Renekton,Gragas,Azir,Kai'Sa,Taric,Shen,Lee Sin,Kassadin,Ezreal,Leona,1
ESPORTSTMNT03/1335587,BRCC,,0,1,10.04,Intergalaxy Tigers Gaming,Falkol,Zoe,Kalista,Pantheon,Gangplank,Sejuani,Elise,Ornn,Aphelios,Trundle,Jarvan IV,Sett,Lee Sin,LeBlanc,Senna,Karma,Vayne,Ekko,Syndra,Varus,Tahm Kench,0
ESPORTSTMNT03/1335631,BRCC,,0,1,10.04,Havan Liberty Gaming,RED Canids,Karthus,Yasuo,Senna,Gragas,LeBlanc,Sett,Pantheon,Sejuani,Olaf,Jarvan IV,Ornn,Rek'Sai,Zoe,Xayah,Rakan,Mordekaiser,Lee Sin,Azir,Aphelios,Braum,1
